feature,importance
max_risk_estimate,0.46742213
miss_distance,0.13801147
max_risk_scaling,0.045819048
c_sigma_t,0.021358825
relative_position_r,0.018591292
relative_position_n,0.01793701
t_span,0.017012589
mahalanobis_distance,0.016201496
c_obs_used,0.012728937
t_h_apo,0.012557764
t_ctdot_rdot,0.012037275
c_sigma_tdot,0.010243742
c_sigma_n,0.0093576135
c_sigma_ndot,0.00902636
c_obs_available,0.008355411
c_sigma_r,0.0077158497
t_j2k_ecc,0.00718906
c_ctdot_r,0.007176338
t_obs_available,0.0069382363
c_crdot_t,0.006183058
t_j2k_inc,0.005874395
relative_speed,0.005620173
c_sigma_rdot,0.0055456427
t_rcs_estimate,0.005418706
t_cndot_n,0.00499059
c_j2k_ecc,0.0048278896
t_sigma_t,0.0047530993
c_rcs_estimate,0.0046873433
c_h_apo,0.004585925
c_ct_r,0.004460733
geocentric_latitude,0.004260134
relative_velocity_r,0.0037102515
t_crdot_n,0.003420655
relative_velocity_t,0.003144605
t_ctdot_t,0.0030728017
c_ctdot_n,0.0029040927
c_ctdot_t,0.002821129
t_ct_r,0.0026721307
t_cndot_r,0.0026319125
t_sedr,0.0026048634
t_cr_area_over_mass,0.002523672
c_ctdot_rdot,0.002477814
time_to_tca,0.0023234745
c_cr_area_over_mass,0.0022947346
relative_velocity_n,0.0021519577
t_recommended_od_span,0.001991971
elevation,0.0019887988
t_cndot_tdot,0.0019588172
t_crdot_t,0.0019362149
t_cn_t,0.001873682
t_sigma_n,0.0018541986
t_cndot_t,0.0018265543
c_recommended_od_span,0.0017744014
t_sigma_rdot,0.0017639175
t_ctdot_r,0.001762108
azimuth,0.001669205
t_ctdot_n,0.0016243508
t_obs_used,0.0015238174
c_cn_t,0.0014755845
F3M,0.0014678573
c_residuals_accepted,0.0014333123
SSN,0.0014201686
c_cn_r,0.001308441
t_sigma_tdot,0.0012485371
c_weighted_rms,0.0011511235
t_sigma_r,0.0011430888
t_actual_od_span,0.001128754
c_h_per,0.0011214649
c_sedr,0.0010908368
t_crdot_r,0.0010677007
t_cn_r,0.0010148037
relative_position_t,0.0009970687
t_weighted_rms,0.0009818764
c_cndot_t,0.00096044864
t_sigma_ndot,0.0009462773
t_cndot_rdot,0.0009165333
t_h_per,0.0008881177
AP,0.0008437432
c_crdot_n,0.0008295845
t_cd_area_over_mass,0.0007851656
F10,0.0007248522
c_actual_od_span,0.0007016853
c_cndot_tdot,0.000682826
t_j2k_sma,0.0006019864
c_j2k_inc,0.0005721609
c_crdot_r,0.0005232768
c_cndot_rdot,0.00051522796
c_j2k_sma,0.0004990243
c_cndot_r,0.0004985175
t_residuals_accepted,0.0004706512
c_cndot_n,0.00046540712
c_cd_area_over_mass,0.00033378985
c_span,0.0
t_time_lastob_end,0.0
t_time_lastob_start,0.0
c_position_covariance_det,0.0
t_position_covariance_det,0.0
c_time_lastob_start,0.0
c_time_lastob_end,0.0
